Code ID,Content,choice 1,choice 2,env label,Time of Day,exported,NPC_A,Shot Img ID,reaction label,reaction img,NPC_B,
1b_2a_3b_4a,"The nodosaur probably would have been fine to approach. They are herbivores like you. As you walk you see what looks like another ceratopsid, do you attempt to flirt?",Don't risk it,Try to flirt,clearing,evening,FALSE,Yehue,,happy,,,
1b_2a_3b_4b,"The nodosaur is eating ferns. They don't seem very happy to see you, but those ferns do look tasty. Do you try to join them in eating the ferns?","No, they look grumpy","Yes, I am hungry",trail,evening,TRUE,,,neutral,,,
1b_2a_3a_4a_5a,Good work. That Saurornitholestes may have been looking to make a quick meal out of some of the herd’s eggs. ,,,nesting grounds,night,FALSE,hint of sauron,,happy,,,
1b_2a_3a_4a_5a_6,You are able to rest for now.,,,,,,,,neutral,,,
1b_2a_3a_4a_5b,The Saurornitholestes snuck up with a rock in its mouth and cracked open one of the herd’s eggs to eat it. You scare them off before they eat anymore. ,,,nesting grounds,night,FALSE,sauron,,afraid,,,
1b_2a_3a_4a_5b_6,You'll need to keep an eye out for them now.,,,,,,,,neutral,,,
1b_2a_3a_4b_5a,"While you are lying down, you notice a Deinosuchus in the nearby river. Another Deinosuchus is able to sneak up behind you. ",,,water,night,TRUE,,,afraid,,,
1b_2a_3a_4b_5a_6,You’re Deinosuchus dinner!,,,,,,,,Dead with Injury,,,
1b_2a_3a_4b_5b,Sleeping near other herbivores feels safer. These ornithomimids might give a warning sign if a predator approaches. ,,,forest,night,FALSE,ornithos,,happy,,,
1b_2a_3a_4b_5b_6,You sleep soundly.,,,,,,,,happy,,,
1b_2a_3b_4a_5a,"Good choice, that is a Yehuecauhceratops. They are a different species of ceratopsid; therefore, they will not mate with you. ",,,clearing,night,FALSE,Yehue,,neutral,,,
1b_2a_3b_4a_5a_6,You end the day with a refreshing nap.,,,,,,,,happy,,,
1b_2a_3b_4a_5b,When you get up close you notice their frill and horns are completely different from yours and the Yehuecauhceratops gets angry at you for enroaching on their territory. ,,,forest,night,FALSE,Yehue,,afraid,,,
1b_2a_3b_4a_5b_6,They run you off! You end your day alone.,,,,,,,,neutral,,,
1b_2a_3b_4b_5a,Good choice! Just because nodosaurs are plant eaters doesn't mean they're friendly. ,,,trail,night,TRUE,,,neutral,,,
1b_2a_3b_4b_5a_6,You find other food and end your day content and safe.,,,,,,,,happy,,,
1b_2a_3b_4b_5b,Bad choice! The nodosaur didn’t want to share and charged you. ,,,trail,night,TRUE,nodo,,injured,,,
1b_2a_3b_4b_5b_6,You are faster and escape but end the day injured and vulnerable.,,,,,,,,injured,,,
1b_2b,"You're lucky! Deinosuchus did not come out of the water this time so you were able to get a drink. As you leave, you spot a young Kritosaurus. Should you attack them or leave them be?",Attack them,Leave them be,forest,day,TRUE,,,neutral,,,
1b_2b_3a,"As you approach the Kritosaurus, you notice they are not alone. They are traveling with a herd. Approach anyway or flee?",Approach,Flee,forest,evening,FALSE,"kritos, adults and young",,neutral,,,
1b_2b_3b,You encounter a herd of Agujaceratops. Do you try to join or stay alone?,Join,Stay alone,clearing,evening,TRUE,aguja herd,,happy,,,
1b_2b_3a_4a,"The duckbills fight you off and score this territory. You are exhausted. Do you try to sleep near a resting Aquilarhinus herd, even though some look ill, or do you sleep by yourself?",With the herd,By yourself,forest,evening,FALSE,aquila herd,,afraid,,,
1b_2b_3a_4b,You flee but you run into a herd of Agujaceratops. Do you try to join or remain alone?,Join,Stay alone,clearing,evening,TRUE,aguja herd,,neutral,,,
1b_2b_3b_4a,"The herd takes you in and you travel with them to find food. Suddenly, a pack of Saurornitholestes attack the herd’s young! Should you try to protect the young or run away from the predators?",Protect the young,Run from predators,trail,evening,FALSE,saurons,,afraid,,,
1b_2b_3b_4b,A Tyrannosaurus has been stalking the herd and sees you leaving alone. Do you fight it off or retreat back to the herd?,Fight it off,Retreat,clearing,evening,TRUE,tyranno,,afraid,,,
1b_2b_3a_4a_5a,"Normally, sleeping with the herd is safer, but the Aquilarhinus you sleep next to happens to be ill. ",,,forest,night,FALSE,aquila (ill),,afraid,,,
1b_2b_3a_4a_5a_6,You catch their illness and die within a few days.,,,,,,,,dead,,,
1b_2b_3a_4a_5b,"Though being alone makes you more vulnerable, many members of that herd were ill and you may have caught their illness by sleeping near them.",,,trail,night,TRUE,,,neutral,,,
1b_2b_3a_4a_5b_6,Sleeping by yourself was a smart choice this time.,,,,,,,,neutral,,,
1b_2b_3a_4b_5a,"Great news, the herd takes you in! ",,,clearing,night,TRUE,aguja herd,,happy,,,
1b_2b_3a_4b_5a_6,You end the day safer by traveling in a group.,,,,,,,,happy,,,
1b_2b_3a_4b_5b,"You avoid a possible confrontation, but remain vulnerable in the days to come. ",,,trail,night,TRUE,,,neutral,,,
1b_2b_3a_4b_5b_6,You might consider joining a herd in the future.,,,,,,,,neutral,,,
1b_2b_3b_4a_5a,Your herd is too strong for the Saurornitholestes; they’re forced to retreat! The babies are safe. ,,,trail,night,TRUE,,,happy,,,
1b_2b_3b_4a_5a_6,You end the day victorious.,,,,,,,,happy,,,
1b_2b_3b_4a_5b,"As the herd flees, the Saurornitholestes are able to catch and eat multiple young Agujaceratops. ",,,trail,night,FALSE,sauron,,afraid,,,
1b_2b_3b_4a_5b_6,You end the day feeling defeated but safe within the herd.,,,,,,,,neutral,,,
1b_2b_3b_4b_5a,You try to fight off the Tyrannosaurus but you are not able to overpower them. ,,,trail,night,TRUE,,,injured,,,
1b_2b_3b_4b_5a_6,You are Tyrannosaurus dinner tonight!,,,,,,,,Dead with Injury,,,
1b_2b_3b_4b_5b,The Tyrannosaurus stops chasing as they see you surround yourself with allies. You decide to stay with the pack awhile longer. ,,,trail,night,FALSE,,,happy,,,
1b_2b_3b_4b_5b_6,You sleep soundly knowing you are safer in numbers.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Scenes Exported:,47,out of,61,,,,
,,,,,% exported:,77.05%,,,,,,
,,,,,All scenes are set-up in photoshop with the not-yet-approved shading and no highlights. Easy to replace any and all dinos in scenes easily if they need an adjustment,,,,,,,
