Code ID,Content,choice 1,choice 2,env label,Time of Day,exported,NPC_A,Shot Img ID,reaction label,reaction img,NPC_B
1a_2b_3a_4b_5a,You keep an eye on the nodosaurs and they keep an eye on you. ,,,water,night,TRUE,"nodo herd, young tyrannos",,neutral,,
1a_2b_3a_4b_5a_6,You and your young are able to get a drink and head back to the nest.,,,,,,,,happy,,
1a_2b_3a_4b_5b,This is a safe choice. You could probably fight one nodosaur but this group could injure you and your family if they are feeling threatened.,,,clearing,night,TRUE,young tyrannos?,,neutral,,
1a_2b_3a_4b_5b_6,"Your family could try returning to the shore tomorrow, maybe the nodosaurs will be gone.",,,,,,,,neutral,,
1a_2b_3b_4a_5a,"You go to drink from the river but since it is dark, you do not see the Deinosuchus sneak up on you. It lunges at you and bites your snout. ",,,water,night,TRUE,,,injured,,
1a_2b_3b_4a_5a_6,You survive but you are badly injured.,,,,,,,,injured,,
1a_2b_3b_4a_5b,"Good choice, going to get a drink would be safer in the morning. ",,,forest,night,TRUE,,,neutral,,
1a_2b_3b_4a_5b_6,Just because you are a top predator doesn’t mean there isn’t potential danger for you!,,,,,,,,neutral,,
1a_2b_3b_4b_5a,"Great choice, these raptors are small and may not be a threat to you but they are a threat to your young!",,,water,night,TRUE,"tyranno nest, young tyrannos",,neutral,,
1a_2b_3b_4b_5a_6,You and your young are safe for the night. ,,,,,,,,happy,,
1a_2b_3b_4b_5b,"Bad idea! Though small and not a threat to you, these raptors surround your nest and kill one of your young before you can scare them away.",,,water,night,TRUE,"tyranno nest, young tyrannos -1",,afraid,,
1a_2b_3b_4b_5b_6,You know to scare them off in the future. ,,,,,,,,neutral,,
1b,Those mammals were moving pretty fast. You are still hungry so you need to find something else to eat. Do you look in the clearing or the forest?,The clearing,The forest,trail,day,TRUE,,,neutral,,
1b_2a,You see a herd of Texacephale grazing. They don't see you. Should you ambush them or keep moving?,Ambush,Keep moving,clearing,day,TRUE,texac herd,,neutral,,
1b_2a_3a,"You are able to catch a Texacephale and it makes a nutritious meal. You hear your babies calling, they must have hatched. Where should you look for more food so that you can feed your hungry babies?",Fern-filled forest,Along the riverbank,clearing,evening,TRUE,,,happy,,
1b_2a_3b,The Texacephale are small so you choose not to hunt them. You return to your nest and your eggs have hatched. Now you need to feed them. You see an Agujaceratops feeding on cycads. What should you do?,Go after Agujaceratops,Keep searching,water,evening,TRUE,"tyranno nest, young tyrannos, aguja",,happy,,
1b_2a_3a_4a,You see an ornithomimid browsing under the trees. Do you hunt it or look for something bigger?,Hunt it,Keep looking,forest,evening,TRUE,ornitho,,neutral,,
1b_2a_3a_4b,You come across a herd of Kritosaurus resting near the water. Do you try to snatch one lying on the outskirts of the herd or keep searching?,Snatch the one,Keep searching,water,evening,TRUE,krito herd,,neutral,,
1b_2a_3b_4a,"The Agujaceratops is healthy and puts up a fight. You do not find it worth the energy to continue, so you go back to your nest. On the way, you hear the call of another Tyrannosaurus. Do you approach or ignore?",Follow the call,Go to your nest,forest,evening,TRUE,,,neutral,,
1b_2a_3b_4b,You keep walking and come across a young Tyrannosaurus eating an Aquilarhinus. Do you steal its prey or wait for the Tyrannosaurus to leave?,Steal the prey,Wait,trail,evening,TRUE,"tyranno, dead Aquila",,happy,,
1b_2a_3a_4a_5a,"Unfortunately, the ornithomimid heard you coming and escapes. ",,,forest,night,TRUE,,,neutral,,
1b_2a_3a_4a_5a_6,You return to the nest without prey.,,,,,,,,neutral,,
1b_2a_3a_4a_5b,Lucky you! You come across a dead Aquilarhinus and you’re able to bring food to your offspring without having to hunt.,,,forest,night,TRUE,,,happy,,
1b_2a_3a_4a_5b_6,You and your offspring end the day well fed!,,,,,,,,happy,,
1b_2a_3a_4b_5a,You chase one of the kritosaurs into the water but a Deinosuchus snaps at you. ,,,water,night,TRUE,deino,,injured,,
1b_2a_3a_4b_5a_6,You end the day injured and your babies still need food.,,,,,,,,injured,,
1b_2a_3a_4b_5b,You are able to find a lone ornithomimid browsing in the forest! ,,,forest,night,TRUE,ornitho,,happy,,
1b_2a_3a_4b_5b_6,"It makes an easy dinner for your young, but you will need to hunt again soon.",,,,,,,,happy,,
1b_2a_3b_4a_5a,"This Tyrannosaurus is calling out to their own babies. When they see you, they are feeling protective and chase you off. ",,,forest,night,TRUE,tyranno,,afraid,,
1b_2a_3b_4a_5a_6,You return to your nest hungry and without food for your young.,,,,,,,,afraid,,
1b_2a_3b_4a_5b,Good idea! It can be dangerous to leave your nest unattended for too long. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,neutral,,
1b_2a_3b_4a_5b_6,Your family is hungry but safe.,,,,,,,,neutral,,
1b_2a_3b_4b_5a,You were able to overpower the young Tyrannosaurus and secure a meal for your family.,,,trail,night,TRUE,,,happy,,
1b_2a_3b_4b_5a_6,Everyone has plenty to eat!,,,,,,,,happy,,
1b_2a_3b_4b_5b,By the time the Tyrannosaurus leaves there isn’t much left. You are able to eat the bones left behind but your babies cannot.,,,trail,night,TRUE,,,neutral,,
1b_2a_3b_4b_5b_6,Your babies end the day hungry!,,,,,,,,afraid,,
1b_2b,You spot a young Aquilarhinus. Do you make it lunch or return to your nest?,Eat the Aquilarhinus,Return to nest,forest,day,TRUE,,,neutral,,
1b_2b_3a,"As you approach the Aquilarhinus, you notice it is not alone. It is traveling with a herd. Continue to pursue the young Aquilarhinus?",Continue,Give it up,forest,evening,TRUE,,,neutral,,
1b_2b_3b,"As you wait, your eggs begin to hatch. Now you need food for yourself and your young. You see a Yehuecauhceratops running towards the water. Do you attack or hold off?",Attack,Hold off,water,evening,TRUE,"tyranno nest, young tyranno, Yehua",,neutral,,
1b_2b_3a_4a,"These duckbills are strong but you are able to catch a young one. You hear your hatchlings calling out and you rush back to your nest with your kill. When you arrive, an Agujaceratops is sniffing around...",Attack,Leave it be,water,evening,TRUE,"tyranno nest, young tyranno, aguja",,happy,,
1b_2b_3a_4b,You return to your nest to find that your young have hatched. You now need to find food for yourself and your young. Do you wait around for prey to wander near your nest or go hunting?,Wait around,Go hunting,water,evening,TRUE,"tyranno nest, young tyranno",,happy,,
1b_2b_3b_4a,You try to go after the Yehuecauhceratops but it was running from another Tyrannosaurus that immediately attacks you for interfering with its prey. Do you try to fight back or abandon your meal?,Fight back,Abandon,water,evening,TRUE,tyranno,,afraid,,
1b_2b_3b_4b,"As you hold off, you see that the Yehuecauhceratops was being chased by a Tyrannosaurus. It takes down the Yehuecauhceratops before it enters the water. Do you try to steal the kill or stay back?",Try to steal,Stay back,water,evening,TRUE,tyranno,,neutral,,
1b_2b_3a_4a_5a,"You charge at the Agujaceratops for coming too close to your nest. In a rush to escape, the Agujaceratops runs straight through your nest and crushes one of your hatchlings. ",,,water,night,TRUE,"tyranno nest, young tyrannos -1",,afraid,,
1b_2b_3a_4a_5a_6,It is tough to lose a hatchling but it will be easier to feed less offspring.,,,,,,,,neutral,,
1b_2b_3a_4a_5b,The Agujaceratops sees you approaching with a dead duckbill and runs off. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,happy,,
1b_2b_3a_4a_5b_6,"Turns out it was not interested in your young, it was just sniffing around for food.",,,,,,,,neutral,,
1b_2b_3a_4b_5a,This may seem like a good idea because your nest is protected when you are around but nothing comes along. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,neutral,,
1b_2b_3a_4b_5a_6,You end your day hungry... so hungry you eat your young.,,,,,,,,neutral,,
1b_2b_3a_4b_5b,You got lucky! You found a dead Kritosaurus. You’re able to eat and bring home food to the babies without even having to hunt.,,,forest,night,TRUE,,,happy,,
1b_2b_3a_4b_5b_6,Your family ends the day well fed.,,,,,,,,happy,,
1b_2b_3b_4a_5a,You’re able to overpower this Tyrannosaurus and kill it. It is bigger than the Yehuecauhceratops and makes for a filling meal. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,happy,,
1b_2b_3b_4a_5a_6,You and your babies had plenty to eat. You sleep well.,,,,,,,,happy,,
1b_2b_3b_4a_5b,The Tyrannosaurus leaves before finishing the Yehuecauhceratops so you gobble what's left!,,,water,night,TRUE,,,happy,,
1b_2b_3b_4a_5b_6,"Lucky for you, there is enough food to fill you up. You end the day satisfied.",,,,,,,,happy,,
1b_2b_3b_4b_5a,The other Tyrannosaurus fights you off from the meal. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,afraid,,
1b_2b_3b_4b_5a_6,You and your babies end the day hungry.,,,,,,,,afraid,,
1b_2b_3b_4b_5b,The Tyrannosaurus leaves before it finished eating the Yehuecauhceratops so you are able to bring the carcass back to your young. ,,,water,night,TRUE,"tyranno nest, young tyrannos",,happy,,
1b_2b_3b_4b_5b_6,There is enough for the whole family to eat! You end your day satisfied. ,,,,,,,,happy,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Scenes Exported:,63,out of,63,,,
,,,,,% exported:,100.00%,,,,,
,,,,,All scenes are set-up in photoshop with the not-yet-approved shading and no highlights. Easy to replace any and all dinos in scenes easily if they need an adjustment *missing the nest and the tyranno young,,,,,,
