Code ID,Content,exportedForReview,choice 1,choice 2,env label,Time of Day,Shot Img ID,reaction label,reaction img,NPC_A,NPC_B
1b_2a_3b_4b,"As you descend you see a Plioplatecarpus approaching the surface. You left right in time. Where should you head next, a nearby seaweed bed, or join another Protostega hunting a swarm of jellyfish?",TRUE,Seaweed,Join in,open ocean,evening,,neutral,,,
1b_2a_3a_4b_5a,You get a head start and you’re able to outswim this young Plioplatecarpus. ,TRUE,,,open ocean,night,,afraid,,,
1b_2a_3a_4b_5a_6,You learn to keep an eye on your surroundings!,,,,,,,neutral,,,
1b_2a_3a_4b_5b,You nestle into the seaweed and the Plioplatecarpus swims past you. ,TRUE,,,seaweed bed,night,,afraid,,,
1b_2a_3a_4b_5b_6,Maybe they weren’t hunting you after all.,,,,,,,happy,,,
1b_2a_3b_4a_5a,You go after the ammonite but it is venomous. Its bite makes you ill.,TRUE,,,open ocean,night,,afraid,,,
1b_2a_3b_4a_5a_6,"You're resistant to the venom and survive, but learn to not eat everything you see.",,,,,,,afraid,,,
1b_2a_3b_4a_5b,You are able to find some clams on the ocean floor. With your strong beak you crack them open and they make a good meal.,TRUE,,,near shore,night,,happy,,,
1b_2a_3b_4a_5b_6,You end your day well fed. ,,,,,,,happy,,,
1b_2a_3b_4b_5a,"You don’t notice the Plioplatecarpus lying low in the seaweed! It ambushes you, and you do not survive.",TRUE,,,seaweed bed,night,,afraid,,,
1b_2a_3b_4b_5a_6,You make a good meal for the Plioplatecarpus.,,,,,,,dead,,,
1b_2a_3b_4b_5b,You and the other Protostega are able to feed on the swarm of jellyfish together!,TRUE,,,open ocean,night,,happy,,,
1b_2a_3b_4b_5b_6,You end your day nourished and content.,,,,,,,happy,,,
1b_2b,You swim around and come across a Scaphites. You try to eat it but you are unable to crack its hard shell. You see some clams in the distance. Go for the clams or keep looking around the open ocean?,TRUE,Go for clams,Keep looking,open ocean,day,,neutral,,,
1b_2b_3a,"You chow down on some clams. Another Protostega shows up to eat, they are not very big. Should you fight them off?",TRUE,Ignore,Fight,near shore,evening,,happy,,,
1b_2b_3b,You continue looking and you see a group of Protostega feeding in a nearby seaweed bed. Should you join them or keep looking for food on your own?,TRUE,Join them,Keep looking,open ocean,evening,,happy,,,
1b_2b_3a_4a,"You ignore the Protostega and you both feed in peace. While you are eating, you see multiple Squalicorax swimming above you. Should you try to swim away or continue eating?",TRUE,Continue eating,Swim away,seaweed bed,evening,,happy,,,
1b_2b_3a_4b,"Before you fight, the other Protostega is interested in a nearby swarm of jellyfish. Should you stay near shore and eat some clams or catch some jellyfish for yourself?",TRUE,Stay near shore,Catch jellyfish,near shore,evening,,neutral,,,
1b_2b_3b_4a,"As you approach, two Protostega in the group begin to fight for your attention. The winner scares the loser away. Do you...",TRUE,Flirt with the winner,Ignore the winner,seaweed bed,evening,,neutral,,,
1b_2b_3b_4b,You continue wandering around and spot a Xiphactinus swimming above you. Should you stay calm or swim away as fast as you can?,TRUE,Keep swimming,Swim away,seaweed bed,evening,,afraid,,,
1b_2b_3b_4a_5a,This Protostega is attracted to you and you are able to mate! ,TRUE,,,seaweed bed,night,,flirtacious,,,
1b_2b_3b_4a_5a_6,In a few weeks you will have to head to shore to find a safe spot to lay your eggs.,,,,,,,happy,,,
1b_2b_3b_4a_5b,"You were not attracted to this Protostega. When you ignore them, they lose interest. ",TRUE,,,seaweed bed,night,,neutral,,,
1b_2b_3b_4a_5b_6,You feed in the seaweed bed and end your day content.,,,,,,,afraid,,,
1b_2b_3b_4b_5a,Your dark shell hides you in dark waters below so the Xiphactinus doesn’t notice you swimming slowly.,TRUE,,,open ocean,night,,happy,,,
1b_2b_3b_4b_5a_6,You end the day safely!,,,,,,,happy,,,
1b_2b_3b_4b_5b,Your hurried swimming catches the attention of the Xiphactinus. They chase after you and you can’t outswim them. ,TRUE,,,open ocean,night,,afraid,,,
1b_2b_3b_4b_5b_6,"They attack you, but your shell is too tough for them. You got lucky this time.",,,,,,,dead,,,
1b_2b_3a_4a_5a,You nestle into the seaweed and the sharks moves past you. ,TRUE,,,seaweed bed,night,,afraid,,,
1b_2b_3a_4a_5a_6,"That was close, you should keep an eye out for predators. ",,,,,,,afraid,,,
1b_2b_3a_4a_5b,Your movement catches the attention of the Squalicorax!,TRUE,,,seaweed bed,night,,afraid,,,
1b_2b_3a_4a_5b_6,"They attack you, and you are overwhelmed. You become dinner for these sharks.",,,,,,,afraid,,,
1b_2b_3a_4b_5a,You stay near shore and have a meal all to yourself.,TRUE,,,near shore,night,,happy,,,
1b_2b_3a_4b_5a_6,The other Protostega swims away and you end your day content.,,,,,,,neutral,,,
1b_2b_3a_4b_5b,"You snatch a few jellyfish, and the other Protostega doesn't fight you off.",TRUE,,,seaweed bed,night,,happy,,,
1b_2b_3a_4b_5b_6,Once you have eaten you have a full stomach and end your day content!,,,,,,,happy,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,52/53,98.11%,,,,,,,,
